"Натрий двухромовокислый чда, натрий бихромат, дихромат натрия",селективные реактивы,,500 
Хромаген черный (Эриохром черный Т),селективные реактивы,,16 000 
Аммоний фосфорнокислый 1-зам. Ч,селективные реактивы,,400 
Олово гранулированное чда,селективные реактивы,,4 000 
Кальций гидроокись чда,селективные реактивы,,140 
"Фенилгидразин солянокислый чда, фенилгидразин гидрохлорид",селективные реактивы,,35 000 
Эфир  петролейный  40-70 чда,селективные реактивы,,800 
Висмут (III) хромовокислый,селективные реактивы,,1 900 
Натрий гидросульфит тех,селективные реактивы,,175 
Хрома окись тех. пигмент. сорт ОХП-1,зеленый,пигмент,1 000 
"Натрий муравьинокислый чда, натрий формиат",селективные реактивы,,200 
"Натрий сернистокислый пиро  чда, пиросульфит, дисульфит, натрий пиросернистый, сернистокислый, пиросернистокислый",селективные реактивы,,3 000 
Анилин гидрохлорид чда,селективные реактивы,,1 800 
Натрий фосфорнокислый 2-замещенный 12-водный (динатрийфосфат),селективные реактивы,Россия,500 
Олово (II) сульфат импорт (олово сернокислое),селективные реактивы,Россия,4 500 
"Натрий углекислый кислый, натрий двууглекислый, сода пищевая",селективные реактивы,Россия,120 
Азур 1,селективные реактивы,,15 000 
"Натрий бромистый ч, натрий бромид",селективные реактивы,,1 000 
"Диметилглиоксим чда, Реактив Чугаева",селективные реактивы,,12 000 
Натрий азотнокислый хч,селективные реактивы,,140 
Хлороформ хч,селективные реактивы,Россия,450 
Кальций углекислый (кальций карбонат),селективные реактивы,,300 
Ртуть II бромная чда,селективные реактивы,,16 000 
Медь (II) сернокислая 5-вод. чда,селективные реактивы,,250 
"Селен, осч 17-4 , элементарный",селективные реактивы,,30 000 
"2,4-динитрофенилгидразин",селективные реактивы,,6 500 
Марганца (III) окись,селективные реактивы,Индия,250 
Натрий кремнефтористый ч,селективные реактивы,,280 
Аммоний фосфорнокислый 2-зам. Ч,селективные реактивы,,400 
"Стронций углекислый хч, стронций карбонат",селективные реактивы,,1 300 
"Генцианвиолет (генциановый фиолетовый, кристаллический фиолетовый)",селективные реактивы,,12 500 
Алюминий гранулированный ч,селективные реактивы,,720 
Эфир петролейный 70-100 чда,селективные реактивы,,850 
Углерод 4-хлористый хч для ЭВС марка А,селективные реактивы,,1 200 
Калий йодноватокислый,да,калимагнезия,4 500 
Аммоний фосфорнокислый (Аммофос в/с ),селективные реактивы,,150 
"1,2,3-Бензотриазол ч",необратимый,Россия,1 240 
Триэтаноламин тех.  м. А,селективные реактивы,,350 
1-НИТРОЗО-2-НАФТОЛ (РЕАКТИВ ИЛЬИНСКОГО),селективные реактивы,,6 500 
Алюминий хлористый безводный 99%(Алюминий хлорид),селективные реактивы,,2 200 
Кобальт (II) сернокислый 7-вод. Ч,селективные реактивы,,2 500 
Сульфоуголь СК по ГОСТ,селективные реактивы,,68 
Фенол,селективные реактивы,Россия,800 
4-Метил-1-фенилпиразолидон-3,селективные реактивы,,2 000 
Натр едкий м. ТР,селективные реактивы,,220 
Метилцеллюлоза водорастворимая МЦ-100,селективные реактивы,Россия,3 800 
Аммоний ванадиевокислый мета ч,селективные реактивы,,5 800 
"Этиленгликоль в/с, тех",селективные реактивы,,550 
"Ртуть II йодистая  хч, ртуть йодид",селективные реактивы,,16 000 
Аква-аурат -10,селективные реактивы,,70 
Натрий фосфорнокислый 1-зам. 2-вод.,селективные реактивы,,550 
Натрий бисульфит  водный раствор,селективные реактивы,,250 
4-аминоантипирин,селективные реактивы,,29 500 
Натрий хлористый хч,селективные реактивы,,120 
Сера элементарная осч 15-3,селективные реактивы,,280 
Углерод 4-хлористый осч 18-4,селективные реактивы,,1 200 
Карбамид марка А ГОСТ 2081-20,селективные реактивы,,120 
Марганец сернокислый 1-водный,селективные реактивы,Украина,600 
Аммоний йодистый ч,селективные реактивы,,3 600 
2-метоксибензальдегида,селективные реактивы,Великобритания,389 200 
Литий гидроокись 1-вод. Ч,селективные реактивы,,3 500 
Бриллиантовый синий Р,селективные реактивы,,35 000 
Бромксиленовый синий водорастворимый чда,селективные реактивы,,45 000 
Фуксин основной  для МБЦ,селективные реактивы,,8 000 
Натрий уксуснокислый плавленный ч,селективные реактивы,,750 
Акридиновый оранжевый,селективные реактивы,Россия,170 000 
Бензидин основание,селективные реактивы,,185 000 
Азофоска,селективные реактивы,,43 
Железо (III) хлорид 6-водный хч,селективные реактивы,,109 
Бериллий 4 окись,селективные реактивы,,6 000 
Марганец (II)  хлористый 4-водный,селективные реактивы,,500 
Триэтаноламин ч,селективные реактивы,Китай,400 
Гидразин сернокислый ч,селективные реактивы,,1 200 
Декстроза,селективные реактивы,,150 
"Натрий щавелевокислый чда, натрий оксалат",селективные реактивы,,1 800 
Фенантролин основание чда,селективные реактивы,,34 800 
Бора нитрид гексагональный,селективные реактивы,,6 500 
"1,5-дифенилкарбозон чда",необратимый,Россия,26 000 
"Натрий йодистый 2-водный чда, натрий йодид",селективные реактивы,,4 800 
"Алюминий фосфорнокислый мета, ортофосфат алюминия, алюминий фосфорнокислый",селективные реактивы,,560 
Натрий кремнефтористый тех,селективные реактивы,,250 
Формалин тех. в/с,селективные реактивы,,160 
Аква-аурат-30,селективные реактивы,,75 
Свинец уксуснокислый чда (свинец диацетат),селективные реактивы,,980 
"Аурамин О, чда",селективные реактивы,,8 000 
"Пирокатехин, имп.",селективные реактивы,,1 000 
Азометин Н чда,селективные реактивы,Россия,320 000 
Магний хлористый 6 - водный чда,селективные реактивы,,450 
"Селен элементарный, осч 22-4",селективные реактивы,,30 000 
Алюминий сернокислый 18-вод. чда,селективные реактивы,,120 
Толуол осч 22-5,селективные реактивы,,400 
"Аэросил А 200, 300, 380 (диоксид кремния)",селективные реактивы,,1 500 
"Натрий фосфорноватистокислый  хч,  натрий гипофосфит",селективные реактивы,,1 000 
Магний сернокислый 7 - вод. Ч,селективные реактивы,Россия,100 
Алюминий хлористый 6-водный (алюминий хлорид),селективные реактивы,Россия,1 400 
"Натрий сернокислый безводный, натрий сульфат",селективные реактивы,,120 
Галлий азотнокислый хч,селективные реактивы,,35 000 
Хлорамин Б,селективные реактивы,,450 
Натрий виннокислый 2-вод. Ч,селективные реактивы,,1 500 
2-этилгексанол в\с,селективные реактивы,,700 
"Гидразин солянокислый ч, гидразин гидрохлорид",селективные реактивы,,2 500 
Олово четыреххлористое -водное ч (Олово тетрахлорид),селективные реактивы,Россия,3 000 
Натрий сернистокислый  безводный чда,селективные реактивы,,350 
Аммоний фтористый ч,селективные реактивы,,850 
Магний окись осажденная ч,селективные реактивы,,550 
Флуоресцеин ртуть ацетат,селективные реактивы,,1 200 000 
"Стронций азотнокислый ч, стронций нитрат",селективные реактивы,,450 
1-метокси-2 пропанол хч,селективные реактивы,,600 
Натрий тетраборнокислый 5-водный (Турция),селективные реактивы,,160 
Реактив Несслера чда,селективные реактивы,,1 200 
Аммоний сернокислый чда,селективные реактивы,,75 
Натр едкий чешуир. тех.,селективные реактивы,,220 
Олово сернокислое чда,селективные реактивы,,4 500 
Литий хлористый  безводный импорт,селективные реактивы,,5 000 
Гафний азотнокислый ч,селективные реактивы,,35 000 
Реактив Грисса чда,селективные реактивы,,1 500 
Диметиланилин,селективные реактивы,Россия,2 000 
Триэтиленгликоль м. А,селективные реактивы,,450 
"Натрий салициловокислый чда, натрий салицилат",селективные реактивы,,1 500 
Гидроксиламин гидрохлорид чда,селективные реактивы,,1 980 
Натрий углекислый б/в ч,селективные реактивы,,125 
Кобальт уксуснокислый 4-водн,селективные реактивы,,1 800 
Бромфеноловый синий  в/р,селективные реактивы,,55 000 
Олово (II) хлорид ч,селективные реактивы,,4 500 
Цинк окись ч,селективные реактивы,,320 
"Уротропин, гексаметилентетрамин, гексамин",селективные реактивы,,300 
М-нитрофенол чда,селективные реактивы,,76 000 
Цирконий карбид Ч ТУ 6-09-03-408-75,селективные реактивы,,8 500 
Магний углекислый основной ч,селективные реактивы,,305 
Циклогексанон,селективные реактивы,,800 
Азур-эозин по Романовскому сухой,селективные реактивы,,20 000 
Кобальт (II) гидроокись,селективные реактивы,,2 500 
Марганца (IV) окись,селективные реактивы,Россия,350 
"Резорцин технический, ЯПОНИЯ",селективные реактивы,Япония,3 000 
Кальций карбид марка А 25/80,селективные реактивы,,450 
"N, N-Диметил-п-фенилендиамин чда",селективные реактивы,Россия,27 750 
Магний окись б/серы ч,селективные реактивы,,550 
Цезий хромовокислый ч,селективные реактивы,,9 800 
"Натрий азотистокислый хч, пищевая добавка Е 250",селективные реактивы,,160 
"Селенит натрия, натрий селенистокислый",селективные реактивы,,2 500 
Алюминий  сульфат очищенный,селективные реактивы,,120 
Аммоний азотнокислый ч,селективные реактивы,,370 
Вазелин мед.,селективные реактивы,,400 
Титан диоксид TiOx-220, ,,550 
Олово (II) хлористое 2 -водное,селективные реактивы,,2 000 
"Кобальт азотнокислый  6-водный ч, кобальт нитрат",селективные реактивы,,2 500 
