title,category,country,price
Клей лейконат,,,4 500 
"Канифоль сосновая марка А, фасовка по 20гр.",,,80 
Иона алюминия (III),селективные реактивы,,200 
Вазелин мед.,селективные реактивы,,400 
Натрий фосфорнокислый 2-замещенный 12-водный (динатрийфосфат),селективные реактивы,Россия,500 
Никель (II) хлорид 6-вод. Чда,,,525 
"1,2,3-Бензотриазол ч",необратимый,Россия,1 240 
Бромфеноловый красный,селективные реактивы,,7 000 
Квасцы хромокалиевые,селективные реактивы,,450 
Паста ГОИ №2,,,320 
Вазелин технический,селективные реактивы,,400 
Эозин Н,селективные реактивы,,6 000 
Олово (II) сульфат импорт (олово сернокислое),селективные реактивы,Россия,4 500 
Электролит калиево-литиевый щелочной Р 1.2,селективные реактивы,,95 
Уголь БАУ-А,,,120 
Фуксин основной  для МБЦ,селективные реактивы,,8 000 
Натрий азотнокислый хч,селективные реактивы,,140 
Декстрин картофельный,селективные реактивы,,290 
"Трибутилфосфат, тех",селективные реактивы,,3 800 
"Стан.-титр: барий хлористый 0,1 Н",,,345 
Оксихинолин-8,селективные реактивы,,7 000 
Алюминий окись б/в ч,селективные реактивы,,480 
Соль Мажеф,,,380 
Барий фтористый,,,380 
Известь хлорная,,,160 
Кальций карбид марка А 25/80,селективные реактивы,,450 
Кислота салициловая,,,700 
Марганец сернокислый 1-водный,селективные реактивы,Украина,600 
Гексаметилдисилазан хч,селективные реактивы,,5 580 
Моноэтаноламин хч,селективные реактивы,,400 
Цинк фосфорнокислый 1-зам. Ч,селективные реактивы,,480 
"Стан.-титр калий железистосинеродистый 0,1 Н",,,450 
Кобальт III. IV окись ч,селективные реактивы,,5 500 
Натрий углекислый 10-вод. Ч,,,250 
Акридиновый оранжевый,селективные реактивы,Россия,170 000 
Скипидар живичный,селективные реактивы,,600 
Углерод 4-хлористый чда,,,1 000 
Кислота олеиновая  м. Б-14,,,450 
Ацетонитрил  4 осч,селективные реактивы,,1 100 
Лактоза   ч,селективные реактивы,,380 
Декстроза,селективные реактивы,,150 
Ацетонитрил хч,селективные реактивы,,920 
П-ксилол чда,селективные реактивы,,600 
Фильтр обеззоленные красная лента 15,селективные реактивы,,93 
Магний сернокислый фармакопейный,селективные реактивы,,120 
"Кальций хлористый 2 - вод. Ч , пищевой",,,165 
Калий азотистокислый,,,1 100 
Барий азотнокислый ч,,,320 
"Кислота фумаровая, пищевая добавка Е297",,,700 
Аммоний фосфорнокислый 2-зам. Ч,селективные реактивы,,400 
Дифенилгуанидин чда,селективные реактивы,,2 300 
Нитроанилин-пара чда,селективные реактивы,,10 000 
Олово (II) сульфат ч,селективные реактивы,,2 000 
Диметилацетамид,селективные реактивы,,490 
Пальмовое масло,,,450 
Азотно-магниевое удобрение,,,75 
Кислота аскорбиновая,,,1 200 
Свинец (II) тетрафтороборат,селективные реактивы,,650 
Бериллий 4 окись,селективные реактивы,,6 000 
Кислота малоновая,селективные реактивы,,1 500 
Поливиниловый спирт 16/1,,,800 
Магний окись б/серы ч,селективные реактивы,,550 
"2,4-динитрофенилгидразин",селективные реактивы,,6 500 
О-ксилол чда,селективные реактивы,,300 
Магний углекислый основной ч,селективные реактивы,,305 
Натр едкий м. ТР,селективные реактивы,,220 
Эфир петролейный 70-100 чда,селективные реактивы,,850 
Глицерин чда,селективные реактивы,,280 
Азофоска,селективные реактивы,,43 
Бензидин уксуснокислый чда (Бензидин диацетат),селективные реактивы,Украина,95 000 
Магний хлористый 6 - водный чда,селективные реактивы,,450 
Фильтр обеззоленные белая  лента 11,селективные реактивы,,55 
Диметиланилин,селективные реактивы,Россия,2 000 
Цезий хромовокислый ч,селективные реактивы,,9 800 
"Натрий сернокислый безводный, натрий сульфат",селективные реактивы,,120 
Натрий уксуснокислый 3-вод. Чда,,,750 
Натрий кремнефтористый тех,селективные реактивы,,250 
Индол 99%,селективные реактивы,,4 000 
Перхлорэтилен ч,селективные реактивы,,130 
Кислота кремнемолибденовая,,кремниевая,3 000 
Аммоний виннокислый (Аммоний тартрат),,,450 
Изобутилацетат хч,селективные реактивы,,560 
Кадмий уксуснокислый 2-вод. Чда,,,1 000 
Ангидрид малеиновый чда,селективные реактивы,,320 
Медь (I) окись ч (закись),,,1 200 
Квасцы железоаммонийные,селективные реактивы,,480 
Метабисульфит натрия,,,80 
Кальций лимоннокислый,селективные реактивы,,300 
"Калий железосинеродистый ч, красная кровяная соль",,порошок,800 
Аммоний хлористый ч,,,85 
Смола эпоксидная ЭД-20,,Эпоксидная,550 
Сульфоуголь,селективные реактивы,,85 
"Натрий сернистокислый пиро  чда, пиросульфит, дисульфит, натрий пиросернистый, сернистокислый, пиросернистокислый",селективные реактивы,,3 000 
Медь (II) сернокислая 5-вод. чда,селективные реактивы,,250 
Цирконий карбид Ч ТУ 6-09-03-408-75,селективные реактивы,,8 500 
М-нитрофенол чда,селективные реактивы,,76 000 
"Натрий лимоннокислый 3-зам 5,5-водный чда, цитрат натрия, пищевая добавка Е331",селективные реактивы,,900 
Аммоний двухромовокислый (аммоний дихромат),,порошок,2 000 
Парафин П-2,,,450 
Ацетонитрил  2 осч,селективные реактивы,,1 600 
Эфир диэтиловый чда,селективные реактивы,,1 450 
Спирт изопропиловый абсолютированный (Изопропанол),,Россия,680 
1-метокси-2 пропанол хч,селективные реактивы,,600 
